City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
104,Maitum,PH,79.81,broken clouds,6.0392,124.4986,Pearl Garden
105,Trairi,BR,89.82,few clouds,-3.2778,-39.2689,janelas do mar
107,Daru,PG,75.74,few clouds,-9.0763,143.2092,Daru Lodge
109,Igurusi,TZ,80.71,broken clouds,-8.85,33.85,Dadi Lodge
110,Cabarroguis,PH,74.25,overcast clouds,16.5833,121.5,Travelodge Drive-Inn Hotel
112,Palaikastron,GR,82.92,clear sky,35.2,26.25,Marina Village
115,Saint Anthony,US,70.79,overcast clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
117,Tabou,CI,78.96,overcast clouds,4.423,-7.3528,hotêl doufoulougou
120,Sokoto,NG,79.41,overcast clouds,13.0609,5.239,Grand Ibro Hotel
121,Ambilobe,MG,76.77,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
123,Hamilton,US,80.89,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
124,Cabo San Lucas,MX,86.5,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
126,Kavieng,PG,80.91,light rain,-2.5744,150.7967,Nusa Island Retreat
128,Martapura,ID,78.89,scattered clouds,-3.4167,114.85,Montana Hotel Syariah
130,Libin,BE,75.04,clear sky,49.9833,5.2833,B&B Le Perchoir
131,Bengkulu,ID,76.42,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
140,Salmas,IR,85.62,overcast clouds,38.1973,44.7653,Ata Hotel
141,Georgetown,MY,85.89,light rain,5.4112,100.3354,Cititel Penang
144,Salalah,OM,77.09,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
145,Mwanza,TZ,75.49,clear sky,-2.5167,32.9,Gold Crest Hotel
146,Gigmoto,PH,79.75,overcast clouds,13.7796,124.39,Cj's Travellers Inn
148,Pemba,MZ,77.7,few clouds,-12.974,40.5178,Guesthouse Samotina
151,Asau,RO,85.28,scattered clouds,46.4333,26.4,Casa Mika Ciobanus
152,Ahuimanu,US,78.51,broken clouds,21.4447,-157.8378,Paradise Bay Resort
154,Helena,US,73.35,clear sky,46.5927,-112.0361,"Holiday Inn Express & Suites Helena, an IHG Hotel"
155,Hurricane,US,81.32,clear sky,37.1753,-113.2899,Super 8 by Wyndham Hurricane Zion National Park
156,Bathsheba,BB,88.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
